descriptor,mean,std
MaxAbsEStateIndex,11.3697128,2.460974035
MaxEStateIndex,11.3697128,2.460974035
MinEStateIndex,-1.231454588,1.579218386
SPS,17.64615018,9.37006415
MolWt,335.4714577,109.5370431
HeavyAtomMolWt,315.6298354,103.9669167
ExactMolWt,335.1078859,109.4079838
NumValenceElectrons,124.3160844,40.7989796
FpDensityMorgan2,1.843537838,0.287285009
FpDensityMorgan3,2.449926138,0.361763185
BCUT2D_MWHI,25.69226877,15.30325947
BCUT2D_MWLOW,10.04650172,0.229233847
BCUT2D_CHGHI,2.26164776,0.183919927
BCUT2D_CHGLO,-2.207333702,0.164626713
BCUT2D_LOGPHI,2.283541154,0.169572667
BCUT2D_LOGPLOW,-2.306332848,0.206481808
BCUT2D_MRHI,6.586809296,1.221986711
AvgIpc,2.722815576,0.457679305
BalabanJ,2.10248759,0.628666194
BertzCT,712.118456,345.4815719
Chi0,16.8807411,5.452522427
Chi0n,13.20982038,4.525978394
Chi0v,13.72331889,4.560392961
Chi1,11.16179586,3.772980691
Chi1n,7.637489883,2.792825817
Chi1v,8.189276153,2.879952332
Chi2n,5.822578211,2.401174386
Chi2v,6.440944644,2.542009843
Chi3n,4.082390164,1.98988542
Chi3v,4.579606297,2.110459569
Chi4n,2.844897184,1.635934296
Chi4v,3.243161427,1.73737642
HallKierAlpha,-2.153982569,1.048075367
Ipc,3155399569,1.03503E+11
Kappa1,16.61700512,5.521826951
Kappa2,6.983062779,2.673326275
Kappa3,6.23836747,131.2651995
LabuteASA,138.3559376,45.21633566
PEOE_VSA1,13.54641645,8.27921691
PEOE_VSA10,8.336811846,8.387505592
PEOE_VSA11,4.225513243,6.174010241
PEOE_VSA12,3.901319656,5.328321977
PEOE_VSA13,2.564945921,4.159980496
PEOE_VSA14,3.393803902,4.779056869
PEOE_VSA2,7.271392074,6.271361716
PEOE_VSA3,5.20278593,5.901162173
PEOE_VSA4,2.379356628,5.219286785
PEOE_VSA5,1.71659851,4.43766795
PEOE_VSA6,21.72735347,18.49439272
PEOE_VSA7,33.34837202,20.64123415
PEOE_VSA8,18.13908914,13.91345613
PEOE_VSA9,12.36166342,10.26813374
SMR_VSA1,15.87399005,10.32107858
SMR_VSA10,19.6511452,13.1251268
SMR_VSA3,8.616516544,7.825588177
SMR_VSA4,4.09645034,7.379819597
SMR_VSA5,27.29761425,22.45056383
SMR_VSA6,14.3974543,13.79488735
SMR_VSA7,42.63877405,25.11843469
SMR_VSA9,5.246569075,7.755914841
SlogP_VSA1,7.691064039,6.403096636
SlogP_VSA10,4.655512618,6.832616696
SlogP_VSA11,3.09670571,5.647341206
SlogP_VSA12,5.210382932,9.204066685
SlogP_VSA2,35.6804836,20.08422096
SlogP_VSA3,10.71756464,8.388280554
SlogP_VSA4,5.755205339,8.385947314
SlogP_VSA5,25.40275868,19.75789836
SlogP_VSA6,34.11795674,21.19355659
SlogP_VSA7,0.776564981,2.404622475
SlogP_VSA8,5.011222918,8.057887106
TPSA,79.20559645,37.6129883
EState_VSA1,12.45076752,14.85318003
EState_VSA10,11.24180985,8.215699493
EState_VSA2,14.34331706,11.42857072
EState_VSA3,15.53521468,12.83214075
EState_VSA4,17.80329385,16.28239408
EState_VSA5,12.43175789,12.79371882
EState_VSA6,13.60030304,14.13617492
EState_VSA7,15.99918305,17.76132205
EState_VSA8,15.52118299,15.55837266
EState_VSA9,9.140605444,8.496508907
VSA_EState1,13.21754959,17.21656255
VSA_EState10,1.51430705,3.337899308
VSA_EState2,18.41036631,13.17380427
VSA_EState3,10.4257796,10.5214829
VSA_EState4,2.492126693,3.192926171
VSA_EState5,-0.165448733,2.046903064
VSA_EState6,7.717748835,6.325754081
VSA_EState7,1.985480479,3.860953764
VSA_EState8,2.80407869,3.10211609
VSA_EState9,0.05115175,2.155053151
HeavyAtomCount,23.36580811,7.809937479
NHOHCount,1.977589293,1.607413412
NOCount,5.665317874,2.548174477
NumAromaticRings,1.78834332,1.176100985
NumAtomStereoCenters,1.158197806,1.954330398
NumHAcceptors,4.630534589,2.198651483
NumHDonors,1.757839857,1.378952335
NumHeteroatoms,6.574896895,2.906596037
NumRotatableBonds,4.68959614,2.898420327
Phi,5.063714649,2.191445339
RingCount,2.705937281,1.436265612
MolLogP,2.398154009,1.894248341
MolMR,88.50530093,29.50170081
fr_NH0,1.491012373,1.53743715
